AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.57,-1.07,0.4,41.54,-96.76,1.55
-0.62,-1.04,0.59,67.93,-175.49,46.77
-0.47,-0.86,0.59,102.11,-208.31,48.12
-0.43,-1.01,0.64,45.02,-119.15,180.07
-0.37,-0.74,0.69,38.02,-71.44,204.66
-0.56,-0.66,0.49,-16.34,-21.06,250.92
-0.45,-0.6,0.65,-122.59,108.27,250.92
-0.79,-0.55,0.78,-176.31,29.56,250.92
-0.59,-0.2,0.73,-124.92,-97.49,250.92
-0.76,-0.09,0.49,-87.04,-16.79,250.92
-0.54,0.12,0.75,-109.45,-111.16,216.19
-0.43,0.13,0.93,-61.51,-94.19,170.23
-0.38,0.27,1.14,-25.39,-90.19,128.26
-0.2,0.29,1.04,20.76,-72.42,104.38
-0.25,0.36,1.12,55.51,-52.13,83.57
-0.16,0.45,1.01,68.54,-96.82,66.25
0.02,0.41,1.09,103.05,-34.25,53.13
-0.08,0.53,0.89,83.15,-69.02,45.9
0.06,0.59,0.86,98.98,-39.69,39.09
0.03,0.55,0.8,85.69,-75.45,26.79
0.13,0.6,0.59,91.71,-66.63,23.21
0.15,0.65,0.54,79.52,-77.08,18.26
0.21,0.72,0.37,112.47,-49.59,5.47
0.18,0.74,0.17,111.58,-58.87,19.92
0.28,0.68,-0.12,88.83,-86.92,34.55
0.43,0.67,-0.42,83.49,-55.25,21.23
0.46,0.78,-0.42,24.27,-46.23,7.19
0.44,0.8,-0.31,18.87,-17.1,4.16
0.44,0.85,-0.37,15.31,-47.48,2.79
0.47,0.88,-0.39,21.59,5.18,-2.57
0.43,0.9,-0.26,-9.77,-9.44,-4.78
0.42,0.94,-0.25,-5.52,0.27,-6.9
0.4,0.95,-0.16,-15.16,2.9,-8.53
0.4,0.93,-0.07,-11.64,3.9,-4.43
0.42,0.93,-0.06,-6.56,4.89,-2.67
0.41,0.91,-0.03,-8.01,7.21,0.26
0.47,0.88,-0.02,-6.2,3.07,-6.25
0.4,0.93,-0.02,-2.28,-0.76,-9.27
0.4,0.97,-0.04,-4.82,-6.06,-8.97
0.37,0.97,-0.03,-4.23,-1.7,-6.29
0.33,0.98,-0.03,-0.36,-1.11,-5.23
0.36,0.97,-0.02,-2.63,-2.1,-2.41
0.37,0.98,-0.06,-0.33,-3.14,-1.67
0.36,0.96,-0.02,-4.92,-6.19,2.02
0.38,0.94,-0.03,-4.82,-2.98,0.26
0.4,0.94,-0.03,-1.52,-2.46,-1.82
0.38,0.95,0,-0.74,-3.75,-1.57
-0.24,-0.93,0.26,-9.33,-17.06,-1.67
-0.26,-0.93,0.29,-2.79,-5,2.41
-0.23,-0.92,0.27,-9.32,-20.48,2.32
-0.27,-0.93,0.28,-1.45,-3.89,1.19
-0.25,-0.93,0.24,-4,-12.58,4.45
-0.26,-0.93,0.25,0.75,0.85,0.84
-0.27,-0.94,0.22,0.41,-8.91,8.41
-0.24,-0.95,0.18,-3.23,-7,-0.87
-0.39,-0.97,0.15,8.04,9.86,8.1
-0.42,-1.02,0.06,-9.25,-47.83,29.9
-0.54,-1.13,0.19,22.26,-121.22,33.54
-0.57,-1.16,0.12,60.03,-210.11,42.7
-0.38,-1.13,0.54,107.94,-252.14,7.21
-0.46,-0.97,0.7,113.6,-182.37,107.68
-0.27,-0.78,0.67,94.41,-217.44,200.69
-0.2,-0.74,0.68,95.75,-137.36,250.92
-0.05,-0.51,0.77,-12.72,-97.5,250.92
-0.34,-0.65,0.88,-66.77,47.44,250.92
-0.4,-0.57,1.03,-74.57,-13.45,250.92
-0.54,-0.23,0.99,-56.04,-18.59,246.94
-0.69,-0.23,1.18,-22.18,-74.05,177.07
-0.32,-0.15,1.11,8.1,-57.63,129.55
-0.64,0.05,1.28,45.51,-55.49,128.16
-0.3,-0.02,1.24,68.54,-74.45,86.24
-0.42,0.09,1.18,79.64,-70.14,92.35
-0.28,0.13,1.24,82.37,-100.76,76.99
-0.18,0.15,1.08,89.36,-130.18,44.54
-0.11,0.25,0.98,93.26,-119.53,38.09
0.06,0.35,0.93,100.83,-106.47,24.41
0.07,0.43,0.83,107.75,-90.29,25.96
0.17,0.51,0.67,88.8,-90.96,10.39
0.24,0.52,0.63,95.21,-80.3,-0.35
0.21,0.59,0.49,101.19,-84.3,-3.06
0.24,0.69,0.36,109.19,-41.87,-13.41
0.39,0.65,0.21,105.74,-67.54,-12.43
0.33,0.62,-0.11,91.43,-18.82,-9.74
0.39,0.63,-0.05,50.26,-51.58,-14.46
0.32,0.79,-0.15,86.21,-26.33,-54.39
0.17,0.89,-0.29,63.8,-32.09,-32.58
0.22,0.9,-0.44,42.95,-56.91,-29.02
0.16,0.92,-0.46,40.39,3.07,-18.89
0.19,0.92,-0.37,9.23,-8.5,-20.73
0.13,0.93,-0.35,5.81,-9.8,-18.28
0.1,0.96,-0.29,-4.34,-5.02,-16.53
0.16,0.95,-0.24,-5.49,4.13,-12.51
0.14,0.96,-0.21,-12.24,-14.52,-6.48
0.12,0.99,-0.18,-9.52,-0.95,-6.58
0.15,1.01,-0.17,-14.47,-2.08,-2.1
0.17,0.98,-0.1,-16.23,-3.44,0.46
0.13,0.99,-0.13,-17.49,-12.53,1.1
0.13,0.98,-0.07,-20.74,-3.72,6.29
0.14,0.99,-0.07,-9.73,-5.28,0.92
0.15,0.99,-0.13,-3.82,-1.37,0.95
0.15,0.98,-0.07,-9.36,6.02,2.82
0.18,0.97,-0.07,-3.05,2.69,-4.64
0.15,0.99,-0.06,-6.54,3.67,-4.13
0.16,0.99,-0.13,-4.98,8.11,-5.34
0.14,1,-0.06,-5.04,9.06,-3.03
0.17,1.01,-0.08,-11.04,3.46,-3.67
0.16,0.99,0.03,-13.63,0.28,-0.32
0.56,0.83,0.48,1.33,6.94,-0.81
0.56,0.81,0.44,-8.29,-14.64,-4.49
0.56,0.82,0.45,-21.93,-12.55,11.16
0.64,0.78,0.44,-3,26.88,5.23
0.57,0.78,0.35,8.58,-0.46,-0.14
0.59,0.82,0.51,-4.43,-19.44,-5.28
0.55,0.84,0.37,4.12,29.39,-2.97
0.73,0.72,0.37,-0.66,11.89,15.45
0.73,0.89,0.23,9.04,19.28,7
0.92,1.02,0.01,23.48,-12.21,9.63
0.93,1.18,0.16,53.23,3.63,25.24
1.08,1.14,0.22,36.6,-30.53,18.63
0.99,1.14,0.13,57.37,-1.53,28.16
1.12,0.99,0.39,74.79,-82.43,59.48
0.84,1.03,0.73,4.19,-68.57,66.59
0.87,0.83,0.18,37.58,-106.49,36.47
0.86,0.67,0.58,68.79,-65.73,57.12
0.85,0.83,0.38,27.24,-70.94,51.05
0.78,0.63,0.11,34.89,-36.31,75.61
0.87,0.59,0.06,45.45,-54.15,75.97
0.89,0.58,-0.02,29.87,-74.47,86.75
0.78,0.5,-0.18,79.27,-84.63,77.86
0.87,0.43,-0.1,74.45,-68.59,68.01
0.94,0.28,-0.27,74.57,-97.06,62.31
0.83,0.19,-0.2,53.4,-69.56,71.55
0.77,0.06,-0.46,16.69,-131.22,64.38
0.61,0.07,-0.34,8.11,-71.46,48.71
0.58,0.01,-0.61,-29.91,-135,31.45
0.55,0.06,-0.5,-29.93,-105.56,30.26
0.45,0.01,-0.65,-46.47,-84.34,13.26
0.33,0.01,-0.97,-49.68,-118.62,23.97
0.2,0.11,-0.73,-13.91,-40.73,14.9
0.15,0.01,-0.72,-33.89,-48.81,3.33
0.13,0.05,-0.84,-7.42,-9.05,41.48
0.06,0.08,-0.97,-19.64,-29.87,10.77
0.14,0.16,-0.9,-11.06,-32.5,5.13
0.11,0.09,-0.9,-11.48,-7.61,8.87
0.17,0.08,-0.95,-0.64,-21.85,-4.2
0.17,0.13,-0.9,-6.06,-11.51,-4.6
0.17,0.16,-0.97,6.38,-15.24,-3.26
0.2,0.14,-0.94,7.37,-10.46,-0.03
0.13,0.12,-1.02,6.01,-28.71,-1.33
0.14,0.11,-0.9,21.08,-6.7,-2.98
0.18,0.04,-0.93,12.14,-25.57,-5.12
0.2,0.06,-0.92,10.67,-7.94,1.87
0.14,0.08,-0.94,13.4,-8.41,5.61
0.11,0.05,-0.99,13.5,-37,3.01
0.12,0.04,-0.89,30.51,-7.87,0.06
0.09,-0.03,-0.94,23.71,-28.33,3.62
0.1,-0.03,-0.96,34.51,-19.49,5.88
0.07,-0.1,-1,24.87,-33.22,4.02
0.07,-0.1,-0.93,27.11,-25.42,8.29
0.01,-0.09,-1.01,24.61,-38.4,11.8
0,-0.09,-0.88,32.87,-14.53,3.83
0,-0.17,-0.86,14.54,-21.4,0.82
-0.01,-0.18,-0.96,22.27,-6.65,17.92
-0.04,-0.19,-0.88,13.43,-19.68,17.33
-0.1,-0.18,-0.97,13.58,-16.69,15.87
-0.06,-0.2,-0.88,16.49,-19.34,5.39
-0.08,-0.23,-0.9,5.23,-14.03,7.05
0.46,0.63,0.72,-2.06,6.42,-1.73
0.51,0.61,0.79,-3.41,-11.98,-8.6
0.46,0.63,0.76,0.3,3.83,-2.06
0.49,0.63,0.76,-8.75,-12.44,-6.35
0.46,0.61,0.75,-7.84,-3.56,-8.77
0.51,0.61,0.78,-6.13,-8.82,-5.66
0.49,0.62,0.77,-5.52,-7.57,5.61
0.49,0.63,0.76,-6.38,-22.5,14.39
0.78,0.51,0.99,1.42,99.37,55.72
0.68,0.6,0.43,18.86,43.93,76.68
0.91,0.63,0.46,14.04,0.42,28.41
1.19,0.72,0.42,0.23,-153.91,25.48
0.99,0.71,0.59,79.12,-75.56,39.49
0.98,0.68,0.63,35.47,-162.4,20.77
1,0.67,0.69,58.12,-146.21,59.57
0.89,0.57,0.65,34.19,-70.01,70.66
0.78,0.68,0.46,4.69,-130.14,12.31
1.05,0.53,0.38,6.93,-123.98,-34.34
1.1,0.61,0.23,53.9,-46.12,17.96
1.04,0.61,0.24,-7.3,-87.31,-15.3
1.19,0.62,0.04,59.94,-11.98,29.82
1.02,0.61,0.02,35.67,-83.57,44.65
1.05,0.56,-0.05,54.78,-69.54,70.03
0.93,0.5,-0.09,77.54,-20.65,83.24
1.06,0.35,-0.14,53.97,-88.22,78.68
0.95,0.29,-0.16,57.77,-45.11,78.49
0.99,0.17,-0.31,18.14,-93.46,63.55
0.9,0.16,-0.3,28.81,-71.47,68.87
0.84,0.06,-0.42,16.36,-95.16,53.62
0.87,0.01,-0.51,24.36,-101.92,42.45
0.83,-0.05,-0.45,7.29,-116.57,41.76
0.78,-0.06,-0.7,19.37,-98.85,60.98
0.63,-0.11,-0.63,21.67,-100.12,56.34
0.56,-0.17,-0.68,26.15,-79.77,62.82
0.41,-0.19,-0.78,16.28,-97.41,67.25
0.33,-0.26,-0.64,25.35,-63.37,60.78
0.23,-0.29,-0.83,18.13,-70.56,63.54
0.17,-0.32,-0.68,28.29,-61.42,48.22
0.17,-0.43,-0.71,16.4,-56.94,66.55
-0.07,-0.37,-0.73,28.48,-44.63,61.53
-0.17,-0.41,-0.7,13.16,-61.34,57.47
-0.2,-0.4,-0.63,21.39,-33.47,45.52
-0.23,-0.44,-0.68,6.58,-38.31,41.64
-0.33,-0.36,-0.78,0.12,-50.32,15.85
-0.24,-0.43,-0.73,1.42,-25.94,10.55
-0.24,-0.44,-0.82,3.61,-31.68,10.42
-0.27,-0.44,-0.7,8.96,-5.66,9.42
-0.25,-0.46,-0.82,-7.33,-10.56,7.91
-0.27,-0.44,-0.76,5.64,-3.78,10.32
-0.3,-0.43,-0.77,-8.85,-22.79,1.48
-0.24,-0.46,-0.76,-4.42,-8.81,-2.16
-0.28,-0.44,-0.81,-7.15,-9.29,0.82
-0.26,-0.45,-0.78,3.41,-3.37,2.49
-0.28,-0.44,-0.81,2.98,-11.87,1.64
-0.27,-0.45,-0.72,7.38,2.15,3.26
-0.25,-0.47,-0.74,-2.52,-5.34,0.26
-0.28,-0.46,-0.79,-1.63,-7.47,1.16
-0.26,-0.45,-0.76,-2.76,-6.74,-1.75
-0.26,-0.46,-0.78,1.48,-1.06,0.04
-0.26,-0.47,-0.78,-3.8,-3.93,0.21
0.75,0.78,0.24,-0.74,34.23,5.61
0.74,0.76,0.31,58.38,67.61,20.85
0.8,0.7,0.2,12.49,10.9,-17.61
0.89,0.79,0.33,-45.85,74.18,-11.86
0.74,0.73,0.06,31.93,14.94,38.74
0.75,0.76,0.27,5.72,9.75,9.74
0.7,0.76,0.16,-9.26,9.52,-14.02
0.91,0.73,0.21,16.86,71.68,7.09
0.98,0.73,-0.05,56.77,104.21,6.75
1.16,0.86,0.14,79.53,108.86,36.85
1.2,0.88,0.02,96.2,84.09,49.03
1.25,1.04,0.67,47.69,165.29,42.32
1.02,0.92,0.21,19.27,39.66,86.32
0.89,1.2,0.49,-30.61,22.31,16.39
0.78,0.91,0.44,32.93,-22.15,99.55
0.64,1.13,0.6,21.31,13.61,116.13
0.84,0.76,0.23,-11.23,-191.52,96.96
1.35,0.67,0.65,55.62,-54.07,119.34
0.77,0.58,0.41,33.05,-39.37,142.63
1.06,0.43,0.45,11.4,-71.75,157.61
0.82,0.32,0.22,21.93,-75.15,148.84
0.88,0.15,0.24,10.06,-47.44,128.32
0.9,0.01,0.05,-13.83,-92.29,111.96
0.92,-0.08,0.02,-13.42,-21.91,105.48
0.83,-0.2,-0.04,-12.82,-57.79,97.55
0.8,-0.25,-0.15,-18.65,-44.55,95.2
0.64,-0.38,-0.25,-28.68,-67.79,83.71
0.66,-0.44,-0.29,-17.95,-59.59,79.31
0.5,-0.44,-0.29,-35.31,-86.08,71
0.52,-0.57,-0.42,-33.37,-110.92,52.89
0.39,-0.57,-0.35,-37,-85.98,66.61
0.15,-0.62,-0.43,-57.75,-59.09,62.29
0.21,-0.63,-0.56,-48.26,-51.58,34.21
0.13,-0.65,-0.7,-28.3,-22.65,30.26
0.19,-0.63,-0.68,-18.59,-32.52,16.42
0.16,-0.6,-0.76,-9.45,-16.73,7.81
0.23,-0.61,-0.69,-9.49,-10.13,4.29
0.21,-0.58,-0.75,-3.92,-6.97,3.47
0.23,-0.6,-0.73,-3.4,-6.43,0.08
0.28,-0.6,-0.8,-1.47,-6.01,-2.1
0.27,-0.57,-0.76,2.37,-9.47,-4.94
0.27,-0.6,-0.71,-0.24,-6.09,-2.67
0.28,-0.6,-0.76,4,-4.16,-6.1
0.31,-0.61,-0.69,3.18,-8.95,-0.98
0.27,-0.6,-0.77,0.6,0.75,-2.86
0.35,-0.6,-0.72,6.66,-4.33,-3.84
0.29,-0.62,-0.72,10.51,4.66,1.12
0.32,-0.63,-0.65,10.65,-0.53,-0.58
0.33,-0.64,-0.69,8.52,-1.79,-0.3
0.34,-0.64,-0.66,4.93,7.03,4.65
0.31,-0.65,-0.67,6.56,-3.68,1.64
0.32,-0.64,-0.64,-1.17,-1.95,2.03
0.31,-0.65,-0.69,0.16,0.85,1.36
0.32,-0.65,-0.66,0.31,-1.4,1.13
0.31,-0.65,-0.7,-2.12,1.55,0.1
0.33,-0.65,-0.66,-2.98,-4,1.07
0.29,-0.64,-0.68,-2.26,-0.83,1.65
0.34,-0.65,-0.67,-1.2,-6.27,0.09
0.3,-0.65,-0.67,-3.78,-4.72,-0.95
0.34,-0.66,-0.65,-2.32,-2.3,1.97
0.85,0.58,0.32,11.9,30.82,18.59
0.79,0.76,0.28,36.21,104.82,17.05
0.83,0.61,0.49,49.22,62.16,11.39
0.77,0.57,0.42,33.12,44.84,40.71
0.74,0.67,0.43,-7.04,-22.21,10.35
0.77,0.79,0.25,-16.73,-52.56,-17.86
0.89,0.71,0.34,7.56,-33.16,-3.9
0.95,0.62,0.3,18.25,33.3,-2.39
1.17,0.52,0.11,18.22,49.85,7.74
1.33,0.54,0.06,32.23,50.31,28
1.43,0.59,0.18,51.09,74.71,50.63
1.32,0.67,0.09,55.9,27.69,42.48
1.37,0.77,0.27,57.93,16.51,79.12
0.99,1.01,0.39,81.51,17.79,61.93
0.99,0.85,0.35,60.74,-41.8,92.76
1.07,0.79,0.47,26.52,-37.92,125.3
1.08,0.58,0.35,53.8,-71.6,122.05
1.13,0.49,0.4,58.31,-40.77,128.37
1.1,0.4,0.33,18.93,-56.19,142.93
1,0.22,0.24,-10.42,-20.95,143.62
0.99,0.07,0.25,-3.89,-22.62,132.53
0.9,-0.1,0.02,-18.39,-35.68,122.87
0.9,-0.18,0.12,-6.12,-3.53,113.54
0.88,-0.31,0.06,-26.75,-34.56,109.41
0.7,-0.38,-0.02,-25.42,-24.06,113.16
0.61,-0.47,-0.06,-32.31,-50.05,89.01
0.53,-0.56,-0.12,-25.53,-55.21,72.55
0.59,-0.6,-0.1,-24.89,-63.81,65.92
0.48,-0.65,-0.2,-46.51,-58.73,59.29
0.42,-0.65,-0.25,-63.92,-57.79,63.91
0.26,-0.69,-0.35,-44.82,-55.47,61.76
0.19,-0.69,-0.37,-54.92,-20.04,56.28
0.06,-0.68,-0.56,-43.33,-27.85,40.18
0.13,-0.71,-0.54,-25.89,-29.47,20.74
0.08,-0.71,-0.64,-26.06,-25.63,16.5
0.04,-0.72,-0.66,-8.21,-8.21,10.96
0.09,-0.72,-0.6,-6.6,-9.02,-1.89
0.14,-0.71,-0.74,-2.03,-9.5,-4.47
0.2,-0.75,-0.64,9.09,4.6,-5.52
0.2,-0.73,-0.63,4.98,-9.53,-10.46
0.23,-0.78,-0.59,7.43,-10.25,-7.16
0.25,-0.74,-0.53,5.51,0.35,-11.24
0.29,-0.77,-0.6,2.45,-5.71,-7.75
0.3,-0.76,-0.57,2.58,4.71,-2.54
0.32,-0.78,-0.56,1.61,-11.98,-4.55
0.3,-0.78,-0.57,-0.09,1.77,-1.26
0.3,-0.77,-0.55,3.59,-7.31,-2.38
0.28,-0.78,-0.56,-1.95,3.31,-0.89
0.33,-0.78,-0.52,-1.52,-10.78,-2.01
0.27,-0.78,-0.56,-6.18,-1.21,-2.62
0.3,-0.78,-0.52,-0.47,-6.41,-0.02
0.28,-0.78,-0.57,-3.93,-5.66,-1.77
0.29,-0.77,-0.59,-1.39,-3.18,-0.71
0.31,-0.76,-0.61,-0.4,-6.55,-2
0.29,-0.76,-0.58,-1.93,2.14,0.22
0.31,-0.77,-0.56,0.61,-4.89,-0.63
0.29,-0.76,-0.57,-2.08,-2.5,1.49
0.3,-0.77,-0.55,-1.12,-5.76,1.2
0.26,-0.76,-0.54,-3.02,-6.79,-1.67
0.28,-0.77,-0.56,-0.59,-3.35,-0.5
0.77,0.58,-0.29,-43,13.8,-32.35
0.75,0.5,-0.18,-3.68,32.78,-19.16
0.77,0.62,-0.26,28.71,-21.21,-6.74
0.81,0.66,-0.19,19.06,7.47,-9.32
0.78,0.58,-0.31,-54.17,79.11,-13.77
0.82,0.73,-0.14,-83.03,168.05,-59.1
0.78,0.7,0.11,-0.68,49.46,-2.23
0.75,0.71,-0.09,5.33,27.79,7.97
0.78,0.7,-0.09,0.47,-16.62,7.52
0.87,0.78,-0.1,27.55,15.21,-12.44
0.89,0.68,-0.27,44.25,4.4,-13.29
1.02,0.7,-0.36,67.27,27.19,-8.89
1.17,0.65,-0.42,73.19,-2.24,8.81
1.19,0.72,-0.39,89.16,46.56,27.31
1.3,0.75,-0.35,85.76,11.76,62.26
1.28,0.79,-0.45,-93.86,-151.79,95.06
1.07,0.84,-0.07,39.8,-15.24,73.31
1.18,0.64,-0.03,46.54,-20.92,90.28
1.22,0.57,-0.03,50.7,-23.08,115.84
1.18,0.49,-0.17,68.89,-47.92,105.71
1.12,0.4,-0.11,87.58,3.53,115.74
0.94,0.29,-0.11,48.85,-32.5,110.1
1.03,0.11,-0.17,49.64,-15.3,103.59
0.9,0,-0.22,57.48,-21.35,97.29
0.87,-0.12,-0.36,20.58,-77.79,78.92
0.87,-0.19,-0.39,33.74,-64.01,79.45
0.79,-0.27,-0.36,9.77,-74.11,80.77
0.75,-0.38,-0.39,10.73,-67.89,80.02
0.58,-0.45,-0.37,18.41,-39.6,81.35
0.59,-0.5,-0.35,-7.03,-61.6,71.35
0.49,-0.52,-0.48,-19.65,-67.9,68.72
0.43,-0.52,-0.38,-19.05,-37.82,67.67
0.37,-0.61,-0.44,-52.48,-72.24,65.76
0.23,-0.56,-0.51,-49.71,-35.6,76.5
-0.03,-0.56,-0.37,-45.72,-23.52,77.16
-0.19,-0.44,-0.69,-47,-28.48,44.26
-0.13,-0.48,-0.67,-26.5,-1.62,29.46
-0.2,-0.54,-0.78,-24.67,-20.37,11.3
-0.1,-0.48,-0.73,-4.19,-7,12.46
-0.11,-0.46,-0.83,-8.33,-15.08,1.48
-0.05,-0.48,-0.82,3.53,10.66,10.44
-0.04,-0.48,-0.84,-0.07,-13.89,-6.61
-0.03,-0.48,-0.82,2.61,2.58,-3
0.04,-0.54,-0.83,0.04,-13.02,-10.04
0.06,-0.52,-0.81,7.45,0.95,-4.89
0.05,-0.53,-0.8,2.09,-4.73,-9.17
0.13,-0.58,-0.78,1.83,-0.77,-1.61
0.06,-0.55,-0.78,-6.2,-3.99,-3.21
0.11,-0.56,-0.8,0.62,-7.14,-1.55
0.08,-0.56,-0.77,-0.33,-5.69,1.49
0.07,-0.56,-0.8,-0.77,-4.5,0.28
0.04,-0.55,-0.75,-0.72,-1.79,-0.06
0.09,-0.54,-0.77,-4.29,-6.57,-4.62
0.09,-0.56,-0.78,-2.91,-4.23,0.89
0.06,-0.56,-0.8,-2.94,-7.27,-2.14
0.06,-0.55,-0.76,-1.77,-3.69,-1.55
0.07,-0.54,-0.79,-3.25,-2.35,-1.38
0.08,-0.55,-0.81,-6.62,-9.69,-2.36
0.1,-0.56,-0.8,-4.56,-8.47,0.65
0.04,-0.53,-0.78,-3.69,-4.66,2.03
0.91,0.55,0.4,-15.42,-12.84,3.92
0.81,0.56,0.32,-1.44,-36.24,1.36
0.85,0.56,0.32,-3.81,-36.23,4.02
0.79,0.63,0.32,0.71,-20.11,-9.5
0.92,0.56,0.34,-3.4,-25.78,-4.32
0.91,0.54,0.28,-8.61,-38.33,-3.34
0.98,0.54,0.27,-4.21,-30.76,-7.13
1.13,0.51,0.05,-2.06,-17.01,-12.86
1.44,0.44,-0.18,30.96,36.44,-17.89
1.31,0.63,-0.11,76.27,7.82,-5.56
1.25,0.79,0.04,77.35,3.5,5.16
1.18,0.78,-0.06,83.8,-28.27,58.85
1.16,0.71,0.02,90.19,4.3,72.32
1,0.73,0.15,85.39,0.95,90.5
1.06,0.7,0.2,50.99,-30.58,96.57
1.16,0.51,0.03,47.08,-37.89,99.98
1.29,0.42,0.17,68.89,-21.16,120.97
1.29,0.35,0.15,80.83,13.92,141.82
1.15,0.25,0.21,42.91,40.48,148.07
1.01,0.13,0.13,17.71,21.67,139.13
0.95,-0.03,0.11,2.51,-28.86,115.24
0.89,-0.14,0.07,4.79,-8.63,103.01
0.91,-0.3,0.12,-9.17,-44.83,90.97
0.87,-0.35,0.06,-25.42,-16.75,93.02
0.77,-0.44,-0.01,-29.49,-36.04,89.81
0.8,-0.53,-0.04,-17.54,-17.36,86.49
0.62,-0.57,-0.05,-34.46,-26.82,83.03
0.67,-0.64,-0.1,-30.62,-22.5,79.19
0.52,-0.67,-0.11,-50.69,-34.15,78.02
0.41,-0.7,-0.24,-50.65,-26.56,74.36
0.34,-0.71,-0.22,-61.02,-40.8,61.4
0.27,-0.72,-0.32,-78.82,-41.73,52.42
0.19,-0.7,-0.47,-67.4,-29.44,46.08
0.02,-0.66,-0.58,-57.11,-21.8,34.81
0.1,-0.68,-0.66,-31.2,-31.06,9.92
0.11,-0.68,-0.61,-19.11,-8.85,10.55
0.1,-0.69,-0.61,-14.13,-21.98,3.67
0.08,-0.68,-0.62,-21.47,-9.5,-1.9
0.22,-0.71,-0.69,-7.23,-14.88,-10.48
0.18,-0.7,-0.64,-1.86,-3.72,-9.84
0.29,-0.75,-0.59,-1.06,-3.05,-3.77
0.21,-0.71,-0.6,0.61,-4.56,-3.02
