AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1.32,-0.27,1.03,-12.14,163.26,33.3
0.71,-0.04,0.79,10.64,28.82,-0.05
0.74,0.08,0.69,24.29,63.07,27.95
0.8,0.05,0.79,-14.26,-19.79,7
0.88,-0.01,0.85,-10.81,-5.72,-0.51
0.86,-0.06,0.91,-2.95,6.13,-13.52
1.04,-0.13,1.07,10.36,12.24,-32.74
1.09,-0.36,1.31,41.61,38.68,-43.24
0.96,-0.4,1.56,139.09,69.47,-102.42
0.61,-0.13,0.96,210.96,20.97,-140.02
0.52,0.03,0.86,226.09,-25.54,-106.17
0.49,0.05,0.53,237.8,2.24,-112.45
0.22,0.01,0.41,250.69,-70.69,-130.92
-0.1,-0.01,-0.1,250.69,-148.81,-170.36
0.01,-0.15,-0.25,250.69,-137.92,-155.38
-0.07,-0.18,-1.01,250.69,100.81,-134.2
-0.39,0,-1.3,241.38,32.6,-158.97
-1.14,0.66,-1.7,97.17,-22.92,-120.69
-0.43,0.42,-1.23,64.48,1.14,26.03
-0.28,0.49,-1.51,4.54,2.63,-22.11
-0.33,0.48,-1.21,-0.17,-21.18,-25.94
-0.36,0.47,-1.09,-13.78,-10.61,-5.68
-0.34,0.41,-0.91,-10.62,-13.08,1.16
-0.28,0.39,-0.86,-10,5.23,13
-0.22,0.38,-0.77,-15.49,-6.78,10.11
-0.19,0.39,-0.71,-9.89,-4.05,5.47
-0.21,0.39,-0.77,-8.07,-0.5,0
-0.21,0.39,-0.77,-3.12,-5.71,-4.32
-0.21,0.41,-0.78,-11.81,-20.89,-7.57
-0.23,0.44,-0.77,-4.2,-10.6,-4.93
-0.24,0.45,-0.79,3.26,-2.72,-3.19
-0.52,-0.78,0.3,-2.59,-8.53,-3.29
-0.47,-0.8,0.31,-2.97,-2,4.37
-0.51,-0.77,0.32,-0.92,-1.57,5.94
-0.48,-0.81,0.31,-6.81,-7.23,4.45
-0.52,-0.78,0.32,-3.61,-6.47,2.19
-0.51,-0.78,0.28,-3.34,-5.92,4.92
-0.58,-0.76,0.27,-14.45,-6.82,12.97
-0.78,-0.74,0.2,-27.41,-29.27,39.48
-0.92,-0.7,0.04,-66.39,-40.05,98.12
-1.1,-0.73,-0.05,-123.1,-94.25,138.02
-1.16,-0.67,0.08,-96.02,-100.4,147.55
-1.26,-0.58,0.05,-73.92,-93.55,157.55
-1.36,-0.6,0.11,-70.08,-50.67,167.38
-1.36,-0.6,0.32,-81.94,-28.11,187.67
-1.1,-0.56,0.49,-147.49,50.82,191.94
-1.48,-0.39,0.38,-124.95,142.18,247.33
-1.47,-0.4,0.35,-183.89,181.31,250.92
-1.58,-0.22,0.3,-177.03,66.4,250.92
-1.14,-0.14,-0.44,-200.68,120.92,250.92
-0.39,-0.08,-0.38,-117.94,169.65,250.92
-0.01,-0.29,0.04,-169.71,187.87,250.92
0.48,-0.13,0.5,-215.24,75.31,199.08
0.6,-0.15,0.65,-149.6,3.55,116.33
0.72,-0.01,0.82,-154.94,-40.92,16.06
0.59,0.21,0.71,-100.93,-44.05,4.15
0.85,0.09,0.83,-115.38,-42.39,1.23
0.9,0.07,1.18,-72.51,-31.63,-3.11
0.67,0.2,1.07,-26,-9.07,-6.38
0.6,0.25,0.84,-22.02,-12.95,2.93
0.74,0.25,0.86,-17.89,-38.45,4.67
0.72,0.19,0.84,-24.9,-37.74,6.71
0.74,0.14,0.88,-12.72,-24.32,7.49
0.86,-0.16,0.93,-13.33,-39.8,21.39
1.03,-0.06,1.1,26.52,10.98,5.94
1.17,0.03,1.1,34.77,-30.69,-59.95
0.91,0.09,1.05,81.32,63.51,-46.87
0.93,0.07,1.13,89.37,48.15,-57.23
0.82,-0.02,0.99,148.85,37.98,-57.04
0.77,-0.34,1.01,209.19,5.35,-99.45
0.32,-0.39,0.27,250.69,-10.36,-165.92
0.04,-0.38,0,250.69,-39.17,-196.24
-0.29,-0.31,-0.83,250.69,-6.89,-160.42
-0.27,0.15,-1.56,250.69,132.99,-15.95
-0.42,1.14,-1.91,40.67,-109.34,-146.42
-0.49,0.88,-0.78,46.64,14.94,-28.48
-0.12,0.96,-1.31,34.82,35.63,-7.26
-0.15,0.81,-0.97,15.35,-2.44,-13.54
-0.13,0.79,-0.96,0.04,40.49,8.32
-0.08,0.66,-0.68,-17.39,-27.21,-15.26
-0.08,0.67,-0.66,-4.95,8.34,3.69
0.01,0.66,-0.67,-0.72,8.82,10.26
0,0.66,-0.63,-6.61,-9.07,-3.3
0.02,0.63,-0.64,1.64,-6.58,1.8
-0.02,0.67,-0.68,1.7,-8.95,7.73
0.02,0.69,-0.76,15.93,1.1,12.16
0.02,0.69,-0.78,3.81,-13.9,6.6
0.04,0.64,-0.68,0.92,0.27,5.32
0.02,0.65,-0.71,-2.62,5.22,2.84
0.01,0.66,-0.69,-4.42,2.12,0.97
0.01,0.65,-0.69,-10.09,-25.68,-4.26
-0.59,-0.72,0.25,-0.34,1.04,-1.34
-0.6,-0.72,0.26,-2.78,-1.47,-0.48
-0.61,-0.71,0.25,-6.85,-7.43,4.95
-0.59,-0.73,0.24,-5.62,-3.96,3.73
-0.6,-0.72,0.25,-6.46,-7.74,2.1
-0.62,-0.72,0.25,-5.97,-10.4,5.87
-0.67,-0.7,0.25,-29.71,-18.49,5.28
-0.7,-0.7,0.11,-82.36,-91.33,18.25
-0.98,-0.63,0.26,-126.4,-176.95,46.23
-1.26,-0.59,0.38,-47.57,-192,72.34
-1.28,-0.66,0.49,66.21,-127.49,102.25
-1.35,-0.63,0.58,72.89,-122.38,137.52
-1.11,-0.57,0.64,42.37,-95.67,179.21
-0.88,-0.39,0.66,10.02,-58.05,180.08
-0.92,-0.31,0.98,-3.65,72.92,174.01
-0.82,-0.34,1.07,-17.39,91.44,175.94
-1.04,-0.33,1.11,25.69,111.79,204.65
-1.21,-0.42,0.8,13.02,114.21,235.72
-1.03,-0.09,0.49,-12.88,120.2,247.91
-0.87,-0.11,-0.32,-67.49,248.13,250.92
-0.52,-0.04,-0.19,-88.55,132.5,250.92
-0.4,0.12,-0.2,-170.93,159.44,250.92
-0.03,0.08,-0.23,-147.94,44.49,250.92
0.48,-0.16,0.02,-149.17,-84.15,163.61
0.72,-0.14,0.53,-217.79,-13.44,163.36
1.14,-0.18,1.02,-138.01,-52.41,99.62
1.76,-0.28,1.12,-76.01,-5.69,45.35
1.18,-0.03,1.36,-85.38,75.12,55.45
0.47,0.11,1.12,6.02,16.95,-37.41
0.52,0.29,0.81,18.81,27.49,34.8
0.69,0.32,0.89,1.7,-26.51,-2.33
0.73,0.18,0.97,-5.42,-41.12,-5.8
0.85,0.17,1.14,-1.71,-16.14,-15.83
0.99,0.07,1.29,37.72,-5.23,-26.53
1,0.03,1.37,77.09,10.31,-37.94
0.93,0.03,1.26,131.95,27.08,-79.95
0.84,0.04,0.98,179.37,43.48,-94.37
0.68,0.05,0.84,217.02,59.5,-109.12
0.47,-0.06,0.46,231.09,47.4,-132.82
0.22,-0.24,0,230.96,57.16,-158.69
0.16,-0.4,-0.31,250.69,63.92,-144.58
-0.19,0,-1.16,250.69,89.46,-87.17
-0.59,0.82,-1.92,162.75,24.53,-107.71
-0.85,0.74,-0.73,49.71,-71.67,-55.36
-0.45,0.91,-1.17,36.04,16.9,19
-0.36,0.82,-0.92,18.8,-17.38,-10.04
-0.31,0.81,-0.93,15.12,16.8,11.76
-0.28,0.73,-0.71,-3.1,-4.1,2.1
-0.28,0.67,-0.62,-7.3,-0.44,7.23
-0.24,0.67,-0.62,-7.1,1.24,15.98
-0.19,0.67,-0.58,-5.21,-10.13,10.55
-0.14,0.67,-0.57,-2.75,-4.98,5.84
-0.18,0.68,-0.62,4.37,-1.99,3.88
-0.16,0.68,-0.62,-1.89,-2.77,0.46
-0.19,0.69,-0.62,-2.56,-0.83,0.65
-0.18,0.69,-0.61,-2.65,1.02,3.44
-0.19,0.72,-0.63,-3.65,-3.44,-0.73
-0.2,0.72,-0.63,-4.26,-3.4,0.07
-0.17,0.7,-0.57,-4.13,-6.4,2.04
-0.19,0.69,-0.6,1.16,2.87,2.19
-0.46,-0.87,-0.02,-3.42,7.91,-12.36
-0.41,-0.86,0.02,9.06,32.98,-14.17
-0.42,-0.86,-0.03,2.45,-11.09,-16.63
-0.4,-0.88,-0.01,20.87,0.98,-14.81
-0.4,-0.9,0.03,10.11,-19.88,-9.76
-0.42,-0.88,0,8.21,-10.21,-7.15
-0.4,-0.89,0.01,-7.75,-26.14,-3.74
-0.46,-0.93,-0.06,-18.08,-38.72,5
-0.55,-0.92,-0.17,-46.52,-79.39,22.42
-0.7,-1.02,-0.39,-49.92,-152.42,74.38
-1.08,-1.02,-0.59,-25.16,-190.05,141.23
-1.23,-1,-0.33,-135,-241.06,184.57
-1.34,-1.01,0.13,-63.59,-198.88,228.64
-1.15,-0.82,0.43,-33.2,-78.12,214.39
-1.05,-0.82,0.71,-76.11,-29.69,166.36
-0.87,-0.5,0.73,-9.55,71.4,154.34
-1,-0.12,0.6,-75.17,105.25,209.05
-1.06,-0.23,0.6,-130.26,93.21,250.92
-1.15,-0.3,0.62,-166.65,14.69,250.92
-0.7,-0.15,0.64,-21.9,14.66,250.92
-0.59,-0.06,0.19,52.33,46.76,233.43
-0.37,0.04,0.06,12.79,35.3,250.92
-0.4,0.36,-0.27,-16.18,96.6,250.92
-0.1,0.13,0.23,-110,-32.55,250.92
0.22,-0.04,-0.08,-0.21,87.45,250.92
0.63,-0.19,0.01,-94.9,-74.56,250.92
0.91,-0.2,0.02,-2.9,44.66,219
1.39,-0.14,0.23,-71.41,111.6,243.94
1.76,-0.35,0.74,-144.2,50.95,135.52
1.72,-0.44,0.92,-38.04,-34.15,-21.93
1.28,-0.11,0.92,34.29,27.93,-60.69
0.78,0.25,0.55,47.4,-12.02,-43.37
0.83,0.3,0.35,39.74,45.82,26.58
1.03,0.14,0.61,-17.46,-1.12,32.43
1.1,0.08,0.65,-7.16,16.18,1.81
1.13,0,0.7,-11.19,32.24,9.58
1.26,-0.15,0.93,15.41,50.69,-9.9
1.28,-0.25,1.02,39.4,18.71,-58.96
1.19,-0.22,1.01,122.93,56.56,-97.68
1.08,-0.25,0.92,136.54,35.94,-112.03
0.89,-0.29,0.76,242.08,10,-144.45
0.38,-0.27,0.21,234.65,-26.37,-198.98
0.38,-0.31,0.18,250.69,-1.25,-178.75
-0.1,-0.32,-0.3,250.69,-64.58,-218.96
-0.21,-0.24,-0.71,250.69,53.69,-189.26
-0.56,0.11,-1.5,250.69,38.05,-154.81
-0.69,0.55,-1.45,100.25,-74.61,-127.9
-0.86,0.8,-1.63,11.83,-61.16,-40.07
-0.45,0.6,-1.19,20.57,-1.89,9.58
-0.28,0.6,-1.21,-1.9,-12.14,1.13
-0.29,0.55,-0.95,-21.78,-13.08,-3.84
-0.27,0.51,-0.74,-20.79,-9.95,2.78
-0.23,0.48,-0.71,-4.95,1.32,8.43
-0.19,0.48,-0.68,-3.52,-7.27,4.96
-0.19,0.5,-0.72,-6.95,-6.7,-3.01
-0.19,0.5,-0.68,-3.75,-6.53,-1.99
-0.18,0.51,-0.72,0.41,-0.69,-2.38
-0.22,0.53,-0.71,2.01,-4.29,-5.65
-0.21,0.54,-0.78,-3.67,-1.08,-6.49
-0.25,0.53,-0.7,-0.82,-4.74,-4.67
-0.43,-0.85,0.07,-16.37,-13.95,-0.82
-0.47,-0.84,0.1,-16.84,-48.44,2.38
-0.49,-0.84,0.06,-18.48,-35.14,8.55
-0.6,-0.84,-0.06,-37.9,-67.56,19.21
-0.52,-0.84,-0.05,-48.35,-57.51,28.19
-0.72,-0.83,-0.03,-77.21,-125.08,46.76
-0.93,-0.88,-0.18,-52.32,-147.28,63.04
-1.18,-0.87,-0.22,-78.92,-252.14,114.33
-1.4,-0.86,-0.02,-59.68,-198.85,140.81
-0.98,-0.86,0.35,-23.71,-62.31,106.16
-1.66,-0.51,0.64,-6.72,110.31,150.94
-1.12,-0.82,0.68,-69.13,31.37,193.63
-0.81,-0.66,0.61,3.42,168.63,187.9
-0.84,-0.71,-0.02,-93.44,174.47,205.74
-1.04,-0.83,0.2,-135.93,68.44,220.67
-0.37,-0.2,0.08,-16.75,155.5,106.82
-0.85,0.14,-0.08,-85.42,50.6,250.92
-0.49,-0.05,-0.31,-127.16,119.01,250.92
-0.3,-0.09,-0.08,-133.07,-39.32,250.92
-0.27,0.05,-0.09,-135.74,77.7,250.92
0.21,0.26,0.2,-94.02,-32,250.92
0.5,0.33,-0.2,-101.81,-40.81,250.92
0.92,0.24,-0.05,-96.55,-8.55,250.92
1.79,-0.42,-0.06,-98.28,-74.67,250.92
2,-0.78,0.58,-111.52,11.48,250.92
1.04,-0.14,0.71,13.7,25.35,-64.69
1.05,-0.02,0.21,71.76,-23.23,-2.88
1.03,0.21,0.05,9.34,-39.95,-24.27
1.12,0.08,0.21,-34,2.5,-2.29
1.29,0.05,0.26,-20.79,9.33,-9.52
1.45,-0.07,0.41,-8.5,31.04,-32.9
1.48,-0.21,0.47,17.55,67.41,-53.05
1.32,-0.29,0.67,62.03,34.55,-100.25
1.19,-0.17,0.46,89.58,27.79,-155.64
1.01,-0.06,0.35,130.61,63.75,-165.13
0.82,0.11,0.36,191.1,21.38,-206.29
0.46,0.16,0.04,209.55,60.43,-249.35
0.06,0.16,-0.13,207.16,7.43,-238.28
0.04,-0.03,-0.31,250.69,63.45,-222.77
-0.21,-0.16,-0.72,246.64,41.33,-220.58
-0.32,0.31,-1.26,169.15,70.21,-171.28
-0.92,0.51,-1.15,77.45,-29.96,-143.91
-0.88,0.66,-1.21,32.9,-35.48,-48.55
-0.52,0.59,-1.27,20.39,24.85,9.69
-0.31,0.53,-1.07,2.84,-8.93,-0.81
-0.28,0.5,-0.94,-6.23,-4.4,-4.64
-0.35,0.49,-0.75,-13.13,-25.89,-11.42
-0.35,0.45,-0.72,-15.3,1.96,2.43
-0.27,0.46,-0.72,-9.26,-11.48,7.42
-0.21,0.45,-0.68,-6.88,-9.69,-0.99
-0.28,0.48,-0.67,-0.04,-3.58,-3.15
-0.3,0.5,-0.72,2.23,-10.18,-3.07
-0.34,0.5,-0.78,-2.09,-0.26,-1.61
-0.29,0.49,-0.75,-1.93,-15.11,2.35
-0.27,0.51,-0.79,-12.17,-0.4,6
-0.27,0.49,-0.71,-8.65,-7.52,4.89
-0.27,0.48,-0.72,-2.78,-1.24,-5.4
-0.35,0.51,-0.71,-7.61,-11.78,-4.87
-0.3,0.52,-0.69,-1.52,-2.35,0.71
-0.33,0.49,-0.69,-9.45,-20.53,-1.74
-0.49,-0.86,0.05,-10.39,-40.29,18.12
-0.48,-0.82,0.07,-8.52,-36.12,12.97
-0.46,-0.82,0.08,-12.54,-22.04,10.12
-0.5,-0.82,0.1,-8.17,-14.05,-3.65
-0.46,-0.81,0.11,-9.39,-25.6,3.88
-0.49,-0.81,0.13,2.73,3.15,-10.77
-0.55,-0.82,0.11,-0.03,-14.27,-4.58
-0.71,-0.85,-0.05,3.98,-36.15,23.5
-0.87,-0.88,-0.26,-32.91,-81.19,60.44
-1.01,-0.83,-0.3,-104.49,-221.57,124.3
-1.22,-0.81,0,-92.98,-209.13,153.86
-1.52,-0.68,0.24,-57.41,-226.21,211.77
-1.29,-0.59,0.52,-44.46,-193.05,250.92
-1.16,-0.44,0.85,-35.8,-51.37,250.92
-1.01,-0.41,0.85,-57.81,-23.8,250.92
-0.89,-0.35,0.86,-61.88,100.44,250.92
-0.93,-0.31,0.93,12.35,36.82,250.92
-0.97,-0.05,0.69,62.76,71.85,250.92
-0.69,0.01,0.43,36.62,0.68,248.35
-0.47,0.19,0.11,43.25,30.63,250.92
-0.31,0.26,0.2,11.65,-52.11,226.55
-0.2,0.31,0.12,49.26,73.6,245
0,0.28,0.04,47.24,77.76,250.92
0.22,0.22,0.09,30.16,119.15,250.92
0.82,-0.03,0.14,-61.81,77.11,250.92
1.12,-0.33,0.27,-104.57,78.44,241.06
1.71,-0.61,0.82,-113.76,36.55,162.16
1.55,-0.54,0.89,-66.06,-11.51,21.71
1.01,-0.21,0.85,27.32,-1.98,-10.29
0.89,0.07,0.53,23.23,-26.22,-26.77
0.97,0.09,0.43,-0.48,-18.95,-8.79
1.1,0.03,0.53,-11.44,-19.28,-13.56
1.04,0.01,0.57,-14.1,-5.05,-13.95
1.23,-0.07,0.68,-13.06,-29.96,-34.88
1.33,-0.15,0.77,14.03,-7.61,-41.71
1.26,-0.23,0.77,10.98,-16.73,-68.42
1.43,-0.3,0.76,65.12,6.56,-83.62
1.16,-0.23,0.43,68.77,-17.19,-195.68
0.9,-0.17,0.43,132.19,7.44,-233.9
0.4,-0.03,0.15,124.6,59.98,-219.57
0.22,0.05,0.19,211.83,29.43,-211.83
-0.06,0.07,-0.18,221.67,3.13,-196.57
-0.22,0.02,-0.43,250.69,-53.72,-214.36
-0.48,0.29,-1.07,238.61,23.25,-194.67
-1.06,0.83,-1.18,43.96,-94.5,-198.97
-1.02,0.91,-0.94,11.03,-7.37,-91.26
-0.86,0.83,-0.94,7.91,-30.43,-21.03
-0.62,0.74,-0.9,7.36,6.44,5.23
-0.53,0.7,-0.73,-5.8,-11.89,4.52
-0.47,0.67,-0.65,-17.75,-2.79,6.75
-0.44,0.63,-0.52,-15.45,-4.68,8.96
-0.39,0.62,-0.51,-1.71,-5.27,11.9
-0.37,0.61,-0.51,-0.47,-1.1,6.37
-0.35,0.62,-0.53,7.36,5.82,5.93
-0.37,0.6,-0.57,2.35,-2.78,2.68
-0.37,0.65,-0.5,9.12,-7.05,8.26
-0.33,0.61,-0.66,11.19,7.95,6.2
-0.34,0.63,-0.61,-5.78,-10.53,1
-0.35,0.63,-0.58,-0.09,-0.22,-1.26
-0.36,0.63,-0.63,-9.75,-9.9,-1.77
-0.34,-0.88,0.26,-9.95,-28.31,16
-0.35,-0.87,0.26,-1.97,-18.91,14.58
-0.35,-0.87,0.26,-10.44,-20.07,7.2
-0.37,-0.87,0.28,-3.52,-2.6,4.55
-0.38,-0.88,0.29,-4.47,-4.02,1.49
-0.4,-0.87,0.25,0.34,-2.24,-0.05
-0.44,-0.88,0.29,-1.33,0.89,-0.77
-0.58,-0.88,0.31,15.73,13.24,-4.39
-0.92,-0.88,0.26,22.18,-61.17,2.55
-1.03,-0.8,0.19,31.59,-42.85,63.18
-1.14,-0.86,0.3,4.02,-27.67,128.09
-1.1,-1,0.42,22.55,-96.87,173.6
-1.09,-1,0.53,24.16,-123.17,196.84
-1.01,-0.89,0.63,29.21,-51.58,205.43
-0.83,-0.71,0.78,29.22,-32.68,178.49
-0.71,-0.54,0.78,51.43,60.04,186.52
-0.86,-0.28,0.93,-27.81,102.32,243.67
-1.22,-0.28,0.95,-41.13,90.68,250.92
-0.8,-0.24,0.69,11.51,64.36,250.92
-0.82,-0.12,0.49,44.7,42.98,250.92
-0.16,0.28,0.01,-19.99,118.95,250.92
-0.26,0.29,0.29,13.9,69.14,250.92
0.15,0.23,0.06,-14.46,14.56,249.48
0.39,0.18,0.08,-8.19,-30.22,246.02
0.65,0.11,0.16,-51.22,-7.6,238.46
0.99,0.07,0.2,-36.28,18.08,234.41
1.3,-0.06,0.19,-67.84,36.39,224.97
1.53,-0.15,0.57,-37.5,82.28,167.19
1.59,-0.28,0.65,-64.61,25.81,80.84
1.07,-0.01,0.64,-10.65,-11.8,-21.45
0.95,0.09,0.58,-20.03,-2.1,-11.01
0.9,0.1,0.34,-5.77,-2.73,18.52
1.18,-0.05,0.62,-14.48,16.32,22.19
1.22,-0.14,0.61,-7.81,12.66,2.17
1.34,-0.3,0.78,12.17,23.17,-16.58
1.5,-0.46,1.01,53.56,24.89,-54.03
1.47,-0.57,1.03,122.54,27.29,-129.06
1.01,-0.39,0.62,157.68,-0.63,-215.83
0.67,-0.13,0.42,218.06,14.84,-221.52
0.17,-0.01,0.1,166.91,13.63,-186.85
0.27,-0.01,0.15,235.54,13.77,-148.28
0.02,0,-0.33,250.69,28.66,-127.86
0.08,0.14,-1.21,250.69,55.43,-126.39
-0.28,0.55,-1.49,250.69,100.52,-122.78
-0.35,0.74,-1.13,1.35,-157.01,-142.1
-0.2,0.69,-0.81,50.51,-40.18,-54.74
-0.28,0.67,-1.06,62.96,-42.44,-41.69
-0.34,0.66,-1.05,42.04,-53.51,-37.14
-0.31,0.61,-0.93,16.8,3.62,-5.28
-0.36,0.58,-0.84,10.52,-23.27,-7.42
-0.29,0.57,-0.78,-9.37,-9.16,2.94
-0.28,0.55,-0.71,0.61,-18.25,6.29
-0.25,0.55,-0.74,-15.77,-6.76,5.69
-0.22,0.54,-0.72,0.59,-13.27,5.5
-0.23,0.55,-0.74,-8.69,-11.67,4.41
-0.23,0.54,-0.67,-8.59,-11.99,4.51
-0.19,0.54,-0.77,4.81,5.87,3.68
-0.22,0.57,-0.71,-8.14,3.66,11.64
-0.18,0.57,-0.74,1.77,-0.11,2.18
-0.22,0.58,-0.72,-10.34,-13.69,-3.11
-0.3,-0.91,-0.09,-5.44,-14.07,0.68
-0.3,-0.92,-0.12,-2.16,-11.89,1.68
-0.3,-0.92,-0.12,-0.23,-10.38,2.32
-0.3,-0.91,-0.12,3.25,-4.58,-3.32
-0.31,-0.92,-0.1,-2.06,-19.28,-5.11
-0.3,-0.92,-0.12,0.83,-11.47,-1.77
-0.37,-0.92,-0.13,-8.59,-27.81,-1.01
-0.35,-0.92,-0.13,-13.88,-38.28,3.33
-0.48,-0.9,-0.26,-13.39,-44.8,27.21
-0.56,-0.86,-0.33,-36.89,-107.09,50.55
-0.95,-0.76,-0.43,-53.77,-213.94,134.44
-0.73,-0.8,-0.22,-74.82,-217.93,195.57
-1.19,-0.54,-0.26,-79.26,-131.2,186.16
-1.17,-0.53,0.03,-116.55,-165.59,171.52
-1.39,-0.38,0.19,-79.14,-150.98,183.61
-1.39,-0.31,0.31,-60.77,-133.33,192.07
-1.16,-0.32,0.52,-46.15,-81.04,202.18
-1.15,-0.17,0.56,-52.75,-57.03,183.19
-0.89,-0.04,0.85,-25.94,21.39,203.68
-1.07,-0.11,1.02,31.06,-10.04,207.07
-0.84,0.06,0.8,75.77,-8.64,199.35
-0.82,0.12,0.64,52.93,-29.48,208.77
-0.47,0.1,0.47,68.54,-49.84,193.36
-0.41,0.2,0.29,92.67,-47.47,202.88
-0.13,0.17,0.21,69.19,70.76,216.2
0,0.22,0.15,7.59,79.11,231.37
0.06,0.34,0.23,88.85,178.31,250.92
0.78,-0.07,0.23,16,199.56,250.92
0.95,-0.34,0.21,-62.08,151.1,250.92
1.63,-0.71,0.71,-105.11,134.19,247.33
1.42,-0.53,1.09,-140.19,36.9,121.11
0.92,-0.44,1.01,-13.4,49.59,8.92
0.76,-0.28,0.81,18.51,-13.44,-34.56
0.76,-0.06,0.6,8.74,2.28,0.71
0.88,-0.15,0.77,-17.92,-29.5,-21.71
0.91,-0.2,0.85,-0.55,20.92,-11.97
